cv_id,filename,tier,template,domain,name,seniority,skills_count,experience_count,misc_count,years_exp,pdf_path,gt_path,pdf_exists,gt_exists,time_extract_pymupdf_raw,status_extract_pymupdf_raw,error_extract_pymupdf_raw,time_extract_pymupdf4llm,status_extract_pymupdf4llm,error_extract_pymupdf4llm,time_extract_docling_default,status_extract_docling_default,error_extract_docling_default,time_extract_docling_custom,status_extract_docling_custom,error_extract_docling_custom,chars_pymupdf_raw,chars_pymupdf4llm,chars_docling_default,chars_docling_custom
2175,cv_02175,T1,T1_academic,backend,Michael Smith,senior,30,4,3,6.9,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02175.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02175.json,True,True,0.01,ok,,0.4,ok,,1.68,ok,,2.4,ok,,2340,2497,3609,7274
2391,cv_02391,T1,T1_academic,backend,Roberta Sanchez,mid,27,2,3,4.6,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02391.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02391.json,True,True,0.01,ok,,0.27,ok,,1.09,ok,,2.59,ok,,1686,1792,2302,3749
27,cv_00027,T1,T1_academic,backend,Ashley Yu,lead,27,3,3,9.3,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00027.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00027.json,True,True,0.01,ok,,0.29,ok,,1.12,ok,,3.63,ok,,1974,2095,3063,5686
2409,cv_02409,T1,T1_academic,backend,Evan Hill,lead,27,4,2,10.0,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02409.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02409.json,True,True,0.01,ok,,0.27,ok,,1.1,ok,,2.88,ok,,1786,1890,2731,5718
369,cv_00369,T1,T1_academic,backend,Travis Taylor,principal,29,4,3,13.1,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00369.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00369.json,True,True,0.01,ok,,0.29,ok,,1.2,ok,,2.86,ok,,2082,2404,3141,3905
2055,cv_02055,T1,T1_academic,backend,Megan Baker,lead,31,3,1,9.0,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02055.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02055.json,True,True,0.01,ok,,0.41,ok,,1.1,ok,,3.47,ok,,1677,1842,2627,6955
1227,cv_01227,T1,T1_academic,cybersecurity,Lonnie Wong,senior,21,2,1,5.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01227.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01227.json,True,True,0.01,ok,,0.26,ok,,1.07,ok,,2.43,ok,,1631,1724,2368,4803
1479,cv_01479,T1,T1_academic,cybersecurity,Blake Meza,principal,18,5,1,17.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01479.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01479.json,True,True,0.01,ok,,0.39,ok,,2.12,ok,,4.26,ok,,2655,2823,4377,7874
2043,cv_02043,T1,T1_academic,cybersecurity,Courtney Perry PhD,senior,25,3,3,5.3,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02043.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02043.json,True,True,0.01,ok,,0.4,ok,,1.12,ok,,3.37,ok,,1740,2041,2792,5605
2025,cv_02025,T1,T1_academic,cybersecurity,Caitlin Knight,senior,20,2,1,5.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02025.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02025.json,True,True,0.01,ok,,0.34,ok,,1.1,ok,,2.21,ok,,1229,1384,1803,4606
